transition,sec2_anchor_acc,sec2_baseline_acc,sec2_improvement,sec2_drift_anchor_acc,sec2_drift_baseline_acc,sec2_drift_improvement,sec2_anchor_mean_rc,sec2_base_mean_rc,sec2_rc_advantage,sec3_anchor_acc,sec3_baseline_acc,sec3_improvement,sec3_anchor_mean_rc,sec3_base_mean_rc,sec3_rc_advantage,n_eval,n_drift,n_stable,n_final
A→B,52.0,28.000000000000004,23.999999999999996,65.0,25.0,40.0,6.795,-2.039375,8.834375,50.0,30.0,20.0,10.225,-2.29765625,12.52265625,25,20,5,10
A→C,68.0,72.0,-4.0,60.0,80.0,-20.0,-7.8186328125,-2.0553125,-5.763320312499999,80.0,70.0,10.0,-13.425,-2.30390625,-11.12109375,25,20,5,10
A→D,64.0,56.00000000000001,7.999999999999993,60.0,60.0,0.0,-6.308046875,-2.0196875,-4.288359375,80.0,60.0,20.0,-10.6125,-2.2625,-8.350000000000001,25,20,5,10
A→E,56.00000000000001,28.000000000000004,28.000000000000004,70.0,25.0,45.0,9.979375,-2.13875,12.118125,60.0,40.0,20.0,15.36875,-2.20625,17.575,25,20,5,10
B→C,40.0,68.0,-28.0,45.0,80.0,-35.0,-5.45921875,-2.1196875,-3.33953125,80.0,70.0,10.0,-12.54375,-2.30390625,-10.239843749999999,25,20,5,10
B→D,44.0,52.0,-8.0,45.0,60.0,-15.0,-3.61671875,-2.0840625,-1.53265625,70.0,60.0,10.0,-9.671875,-2.2625,-7.409375,25,20,5,10
B→E,72.0,24.0,48.0,70.0,25.0,45.0,14.8475,-2.203125,17.050625,60.0,40.0,20.0,17.025,-2.20625,19.23125,25,20,5,10
C→D,72.0,60.0,12.0,70.0,60.0,10.0,-11.23875,-2.0225,-9.216249999999999,80.0,60.0,20.0,-12.58125,-2.2625,-10.318750000000001,25,20,5,10
C→E,40.0,32.0,8.0,40.0,25.0,15.0,2.354296875,-2.1415625,4.495859375,60.0,40.0,20.0,12.35,-2.20625,14.556249999999999,25,20,5,10
D→E,52.0,36.0,16.0,45.0,25.0,20.0,-3.6058984375,-2.180625,-1.4252734375,70.0,40.0,30.0,9.6125,-2.20625,11.818750000000001,25,20,5,10
