transition,sec2_anchor_acc,sec2_baseline_acc,sec2_improvement,sec2_drift_anchor_acc,sec2_drift_baseline_acc,sec2_drift_improvement,sec2_anchor_mean_rc,sec2_base_mean_rc,sec2_rc_advantage,sec3_anchor_acc,sec3_baseline_acc,sec3_improvement,sec3_anchor_mean_rc,sec3_base_mean_rc,sec3_rc_advantage,n_eval,n_drift,n_stable,n_final
A→B,52.0,44.0,8.0,65.0,40.0,25.0,6.795,0.503828125,6.291171875,50.0,50.0,0.0,10.225,0.4869140625,9.7380859375,25,20,5,10
A→C,68.0,84.0,-16.0,60.0,90.0,-30.0,-7.8186328125,0.51328125,-8.3319140625,80.0,80.0,0.0,-13.425,0.4775390625,-13.9025390625,25,20,5,10
A→D,64.0,64.0,0.0,60.0,65.0,-5.0,-6.308046875,0.510546875,-6.81859375,80.0,50.0,30.0,-10.6125,0.4880859375,-11.1005859375,25,20,5,10
A→E,56.00000000000001,40.0,16.000000000000007,70.0,35.0,35.0,9.979375,0.503984375,9.475390625,60.0,30.0,30.0,15.36875,0.480859375,14.887890625,25,20,5,10
B→C,40.0,80.0,-40.0,45.0,90.0,-45.0,-5.45921875,0.51015625,-5.969374999999999,80.0,80.0,0.0,-12.54375,0.4775390625,-13.0212890625,25,20,5,10
B→D,44.0,60.0,-16.0,45.0,65.0,-20.0,-3.61671875,0.507421875,-4.124140625,70.0,50.0,20.0,-9.671875,0.4880859375,-10.1599609375,25,20,5,10
B→E,72.0,36.0,36.0,70.0,35.0,35.0,14.8475,0.500859375,14.346640625000001,60.0,30.0,30.0,17.025,0.480859375,16.544140624999997,25,20,5,10
C→D,72.0,64.0,8.0,70.0,65.0,5.0,-11.23875,0.5125,-11.751249999999999,80.0,50.0,30.0,-12.58125,0.4880859375,-13.0693359375,25,20,5,10
C→E,40.0,40.0,0.0,40.0,35.0,5.0,2.354296875,0.5059375,1.8483593750000002,60.0,30.0,30.0,12.35,0.480859375,11.869140625,25,20,5,10
D→E,52.0,44.0,8.0,45.0,35.0,10.0,-3.6058984375,0.5059375,-4.1118359375,70.0,30.0,40.0,9.6125,0.480859375,9.131640625000001,25,20,5,10
