transition,sec2_anchor_acc,sec2_baseline_acc,sec2_improvement,sec2_drift_anchor_acc,sec2_drift_baseline_acc,sec2_drift_improvement,sec2_anchor_mean_rc,sec2_base_mean_rc,sec2_rc_advantage,sec3_anchor_acc,sec3_baseline_acc,sec3_improvement,sec3_anchor_mean_rc,sec3_base_mean_rc,sec3_rc_advantage,n_eval,n_drift,n_stable,n_final
A→B,52.0,40.0,12.0,65.0,35.0,30.0,6.795,-2.5171875,9.3121875,50.0,40.0,10.0,10.225,-2.771875,12.996875,25,20,5,10
A→C,68.0,76.0,-8.0,60.0,80.0,-20.0,-7.8186328125,-2.5446875,-5.2739453124999995,80.0,70.0,10.0,-13.425,-2.7734375,-10.6515625,25,20,5,10
A→D,64.0,64.0,0.0,60.0,65.0,-5.0,-6.308046875,-2.526875,-3.7811718749999996,80.0,70.0,10.0,-10.6125,-2.7296875,-7.882812500000001,25,20,5,10
A→E,56.00000000000001,44.0,12.000000000000007,70.0,40.0,30.0,9.979375,-2.6159375,12.595312499999999,60.0,40.0,20.0,15.36875,-2.6703125,18.0390625,25,20,5,10
B→C,40.0,68.0,-28.0,45.0,80.0,-35.0,-5.45921875,-2.6,-2.8592187499999997,80.0,70.0,10.0,-12.54375,-2.7734375,-9.7703125,25,20,5,10
B→D,44.0,56.00000000000001,-12.000000000000007,45.0,65.0,-20.0,-3.61671875,-2.5821875,-1.0345312500000001,70.0,70.0,0.0,-9.671875,-2.7296875,-6.9421875,25,20,5,10
B→E,72.0,36.0,36.0,70.0,40.0,30.0,14.8475,-2.67125,17.51875,60.0,40.0,20.0,17.025,-2.6703125,19.6953125,25,20,5,10
C→D,72.0,68.0,4.0,70.0,65.0,5.0,-11.23875,-2.5278125,-8.7109375,80.0,70.0,10.0,-12.58125,-2.7296875,-9.8515625,25,20,5,10
C→E,40.0,48.0,-8.0,40.0,40.0,0.0,2.354296875,-2.616875,4.971171875,60.0,40.0,20.0,12.35,-2.6703125,15.0203125,25,20,5,10
D→E,52.0,52.0,0.0,45.0,40.0,5.0,-3.6058984375,-2.6525,-0.9533984375000002,70.0,40.0,30.0,9.6125,-2.6703125,12.2828125,25,20,5,10
