transition,sec2_anchor_acc,sec2_baseline_acc,sec2_improvement,sec2_drift_anchor_acc,sec2_drift_baseline_acc,sec2_drift_improvement,sec2_anchor_mean_rc,sec2_base_mean_rc,sec2_rc_advantage,sec3_anchor_acc,sec3_baseline_acc,sec3_improvement,sec3_anchor_mean_rc,sec3_base_mean_rc,sec3_rc_advantage,n_eval,n_drift,n_stable,n_final
A→B,52.0,44.0,8.0,65.0,35.0,30.0,6.795,0.02703125,6.76796875,50.0,60.0,-10.0,10.225,-0.12255859375,10.34755859375,25,20,5,10
A→C,68.0,92.0,-24.0,60.0,95.0,-35.0,-7.8186328125,0.0148828125,-7.8335156249999995,80.0,70.0,10.0,-13.425,-0.17705078125,-13.247949218750001,25,20,5,10
A→D,64.0,68.0,-4.0,60.0,65.0,-5.0,-6.308046875,-0.05232421875,-6.25572265625,80.0,60.0,20.0,-10.6125,-0.14671630859375,-10.465783691406251,25,20,5,10
A→E,56.00000000000001,48.0,8.000000000000007,70.0,40.0,30.0,9.979375,-0.006796875,9.986171874999998,60.0,10.0,50.0,15.36875,-0.052001953125,15.420751953125,25,20,5,10
B→C,40.0,76.0,-36.0,45.0,90.0,-45.0,-5.45921875,0.03688720703125,-5.49610595703125,80.0,70.0,10.0,-12.54375,-0.14306640625,-12.40068359375,25,20,5,10
B→D,44.0,48.0,-4.0,45.0,55.00000000000001,-10.000000000000007,-3.61671875,-0.02987060546875,-3.58684814453125,70.0,60.0,10.0,-9.671875,-0.112054443359375,-9.559820556640625,25,20,5,10
B→E,72.0,32.0,40.0,70.0,35.0,35.0,14.8475,0.01675048828125,14.83074951171875,60.0,10.0,50.0,17.025,-0.0158935546875,17.0408935546875,25,20,5,10
C→D,72.0,60.0,12.0,70.0,55.00000000000001,14.999999999999993,-11.23875,-0.073125,-11.165625,80.0,60.0,20.0,-12.58125,-0.1690185546875,-12.4122314453125,25,20,5,10
C→E,40.0,48.0,-8.0,40.0,40.0,0.0,2.354296875,-0.0281396484375,2.3824365234375002,60.0,10.0,50.0,12.35,-0.07353515625,12.423535156249999,25,20,5,10
D→E,52.0,48.0,4.0,45.0,40.0,5.0,-3.6058984375,-0.0184228515625,-3.5874755859375003,70.0,10.0,60.0,9.6125,-0.072314453125,9.684814453125,25,20,5,10
