transition,sec2_anchor_acc,sec2_baseline_acc,sec2_improvement,sec2_drift_anchor_acc,sec2_drift_baseline_acc,sec2_drift_improvement,sec2_anchor_mean_rc,sec2_base_mean_rc,sec2_rc_advantage,sec3_anchor_acc,sec3_baseline_acc,sec3_improvement,sec3_anchor_mean_rc,sec3_base_mean_rc,sec3_rc_advantage,n_eval,n_drift,n_stable,n_final
A→B,48.0,68.0,-20.0,55.00000000000001,75.0,-19.999999999999993,1.611015625,1.12791015625,0.48310546875000004,50.0,70.0,-20.0,3.4046875,1.759765625,1.644921875,25,20,5,10
A→C,60.0,36.0,24.0,55.00000000000001,35.0,20.000000000000007,-0.018837890625,1.011298828125,-1.03013671875,40.0,50.0,-10.0,1.94140625,1.143994140625,0.797412109375,25,20,5,10
A→D,72.0,40.0,32.0,70.0,40.0,30.0,-0.88859375,1.03302734375,-1.9216210937499998,80.0,40.0,40.0,-1.49140625,1.19248046875,-2.68388671875,25,20,5,10
A→E,52.0,52.0,0.0,60.0,55.00000000000001,4.999999999999993,2.47611328125,1.1071652221679686,1.3689480590820313,70.0,30.0,40.0,4.545703125,1.19609375,3.349609375,25,20,5,10
B→C,32.0,32.0,0.0,35.0,35.0,0.0,0.05984375,0.9787890625,-0.9189453125,40.0,50.0,-10.0,2.3421875,1.143994140625,1.198193359375,25,20,5,10
B→D,48.0,36.0,12.0,55.00000000000001,40.0,15.000000000000007,-0.880057373046875,1.000517578125,-1.880574951171875,80.0,40.0,40.0,-1.232421875,1.19248046875,-2.42490234375,25,20,5,10
B→E,84.0,48.0,36.0,85.0,55.00000000000001,29.999999999999993,3.18375,1.0746554565429687,2.109094543457031,80.0,30.0,50.0,4.7328125,1.19609375,3.5367187499999995,25,20,5,10
C→D,68.0,44.0,24.0,65.0,40.0,25.0,-0.94556640625,1.032080078125,-1.977646484375,80.0,40.0,40.0,-1.5044921875,1.19248046875,-2.69697265625,25,20,5,10
C→E,76.0,56.00000000000001,19.999999999999993,85.0,55.00000000000001,29.999999999999993,2.6987109375,1.1062179565429688,1.5924929809570312,80.0,30.0,50.0,4.66875,1.19609375,3.47265625,25,20,5,10
D→E,40.0,56.00000000000001,-16.000000000000007,45.0,55.00000000000001,-10.000000000000007,1.656474609375,1.1165304565429688,0.5399441528320312,80.0,30.0,50.0,4.151953125,1.19609375,2.955859375,25,20,5,10
