transition,sec2_anchor_acc,sec2_baseline_acc,sec2_improvement,sec2_drift_anchor_acc,sec2_drift_baseline_acc,sec2_drift_improvement,sec2_anchor_mean_rc,sec2_base_mean_rc,sec2_rc_advantage,sec3_anchor_acc,sec3_baseline_acc,sec3_improvement,sec3_anchor_mean_rc,sec3_base_mean_rc,sec3_rc_advantage,n_eval,n_drift,n_stable,n_final
A→B,48.0,64.0,-16.0,55.00000000000001,70.0,-14.999999999999993,1.611015625,0.52296875,1.088046875,50.0,70.0,-20.0,3.4046875,0.578515625,2.826171875,25,20,5,10
A→C,60.0,44.0,16.0,55.00000000000001,45.0,10.000000000000007,-0.018837890625,0.528828125,-0.547666015625,40.0,50.0,-10.0,1.94140625,0.467578125,1.473828125,25,20,5,10
A→D,72.0,52.0,20.0,70.0,55.00000000000001,14.999999999999993,-0.88859375,0.493359375,-1.381953125,80.0,40.0,40.0,-1.49140625,0.5033203125,-1.9947265625,25,20,5,10
A→E,52.0,52.0,0.0,60.0,55.00000000000001,4.999999999999993,2.47611328125,0.515546875,1.96056640625,70.0,20.0,50.0,4.545703125,0.4833984375,4.0623046875,25,20,5,10
B→C,32.0,44.0,-12.0,35.0,45.0,-10.0,0.05984375,0.51546875,-0.45562500000000006,40.0,50.0,-10.0,2.3421875,0.467578125,1.8746093750000001,25,20,5,10
B→D,48.0,52.0,-4.0,55.00000000000001,55.00000000000001,0.0,-0.880057373046875,0.48,-1.360057373046875,80.0,40.0,40.0,-1.232421875,0.5033203125,-1.7357421875,25,20,5,10
B→E,84.0,52.0,32.0,85.0,55.00000000000001,29.999999999999993,3.18375,0.5021875,2.6815625,80.0,20.0,60.0,4.7328125,0.4833984375,4.2494140625,25,20,5,10
C→D,68.0,52.0,16.0,65.0,55.00000000000001,9.999999999999993,-0.94556640625,0.490625,-1.4361914062499999,80.0,40.0,40.0,-1.5044921875,0.5033203125,-2.0078125,25,20,5,10
C→E,76.0,52.0,24.0,85.0,55.00000000000001,29.999999999999993,2.6987109375,0.5128125,2.1858984375,80.0,20.0,60.0,4.66875,0.4833984375,4.1853515625,25,20,5,10
D→E,40.0,56.00000000000001,-16.000000000000007,45.0,55.00000000000001,-10.000000000000007,1.656474609375,0.517890625,1.1385839843749999,80.0,20.0,60.0,4.151953125,0.4833984375,3.6685546875000004,25,20,5,10
