transition,sec2_anchor_acc,sec2_baseline_acc,sec2_improvement,sec2_drift_anchor_acc,sec2_drift_baseline_acc,sec2_drift_improvement,sec2_anchor_mean_rc,sec2_base_mean_rc,sec2_rc_advantage,sec3_anchor_acc,sec3_baseline_acc,sec3_improvement,sec3_anchor_mean_rc,sec3_base_mean_rc,sec3_rc_advantage,n_eval,n_drift,n_stable,n_final
A→B,48.0,56.00000000000001,-8.000000000000007,55.00000000000001,55.00000000000001,0.0,1.611015625,1.7790625,-0.16804687499999993,50.0,70.0,-20.0,3.4046875,3.65390625,-0.24921874999999982,25,20,5,10
A→C,60.0,44.0,16.0,55.00000000000001,40.0,15.000000000000007,-0.018837890625,1.34921875,-1.3680566406249999,40.0,50.0,-10.0,1.94140625,1.97734375,-0.035937499999999956,25,20,5,10
A→D,72.0,44.0,28.0,70.0,40.0,30.0,-0.88859375,1.68390625,-2.5725,80.0,50.0,30.0,-1.49140625,2.540625,-4.03203125,25,20,5,10
A→E,52.0,56.00000000000001,-4.000000000000007,60.0,55.00000000000001,4.999999999999993,2.47611328125,1.99767578125,0.47843750000000007,70.0,20.0,50.0,4.545703125,2.181640625,2.3640625,25,20,5,10
B→C,32.0,40.0,-8.0,35.0,40.0,-5.0,0.05984375,1.2284375,-1.16859375,40.0,50.0,-10.0,2.3421875,1.97734375,0.36484375000000013,25,20,5,10
B→D,48.0,40.0,8.0,55.00000000000001,40.0,15.000000000000007,-0.880057373046875,1.563125,-2.4431823730468754,80.0,50.0,30.0,-1.232421875,2.540625,-3.773046875,25,20,5,10
B→E,84.0,52.0,32.0,85.0,55.00000000000001,29.999999999999993,3.18375,1.87689453125,1.3068554687499998,80.0,20.0,60.0,4.7328125,2.181640625,2.5511718749999996,25,20,5,10
C→D,68.0,40.0,28.0,65.0,40.0,25.0,-0.94556640625,1.687890625,-2.63345703125,80.0,50.0,30.0,-1.5044921875,2.540625,-4.0451171875,25,20,5,10
C→E,76.0,52.0,24.0,85.0,55.00000000000001,29.999999999999993,2.6987109375,2.00166015625,0.6970507812500002,80.0,20.0,60.0,4.66875,2.181640625,2.487109375,25,20,5,10
D→E,40.0,60.0,-20.0,45.0,55.00000000000001,-10.000000000000007,1.656474609375,2.08798828125,-0.4315136718749999,80.0,20.0,60.0,4.151953125,2.181640625,1.9703125000000004,25,20,5,10
