transition,sec2_anchor_acc,sec2_baseline_acc,sec2_improvement,sec2_drift_anchor_acc,sec2_drift_baseline_acc,sec2_drift_improvement,sec2_anchor_mean_rc,sec2_base_mean_rc,sec2_rc_advantage,sec3_anchor_acc,sec3_baseline_acc,sec3_improvement,sec3_anchor_mean_rc,sec3_base_mean_rc,sec3_rc_advantage,n_eval,n_drift,n_stable,n_final
A→B,48.0,52.0,-4.0,55.00000000000001,45.0,10.000000000000007,1.611015625,0.0146484375,1.5963671875,50.0,60.0,-10.0,3.4046875,0.414453125,2.990234375,25,20,5,10
A→C,60.0,80.0,-20.0,55.00000000000001,80.0,-24.999999999999993,-0.018837890625,0.1121282958984375,-0.1309661865234375,40.0,70.0,-30.0,1.94140625,-0.05830078125,1.99970703125,25,20,5,10
A→D,72.0,60.0,12.0,70.0,55.00000000000001,14.999999999999993,-0.88859375,0.049560546875,-0.938154296875,80.0,60.0,20.0,-1.49140625,0.0613433837890625,-1.5527496337890625,25,20,5,10
A→E,52.0,48.0,4.0,60.0,40.0,20.0,2.47611328125,0.04326171875,2.4328515625,70.0,30.0,40.0,4.545703125,0.23658447265625,4.30911865234375,25,20,5,10
B→C,32.0,72.0,-40.0,35.0,80.0,-45.0,0.05984375,-0.005075912475585937,0.06491966247558593,40.0,70.0,-30.0,2.3421875,-0.05732421875,2.39951171875,25,20,5,10
B→D,48.0,52.0,-4.0,55.00000000000001,55.00000000000001,0.0,-0.880057373046875,-0.068037109375,-0.8120202636718751,80.0,60.0,20.0,-1.232421875,0.06185073852539062,-1.2942726135253906,25,20,5,10
B→E,84.0,40.0,44.0,85.0,40.0,45.0,3.18375,-0.0739453125,3.2576953124999997,80.0,30.0,50.0,4.7328125,0.2365478515625,4.496264648437499,25,20,5,10
C→D,68.0,60.0,8.0,65.0,55.00000000000001,9.999999999999993,-0.94556640625,0.02276336669921875,-0.9683297729492187,80.0,60.0,20.0,-1.5044921875,0.06252727508544922,-1.5670194625854492,25,20,5,10
C→E,76.0,48.0,28.0,85.0,40.0,45.0,2.6987109375,0.01580047607421875,2.6829104614257813,80.0,30.0,50.0,4.66875,0.23695068359375,4.43179931640625,25,20,5,10
D→E,40.0,48.0,-8.0,45.0,40.0,5.0,1.656474609375,0.033798828125,1.6226757812500001,80.0,30.0,50.0,4.151953125,0.23701171875,3.9149414062500005,25,20,5,10
